"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Add Employe on PIM Module","1","0","Validate error when First Name is empty","0"
"0","","1","Add Employe on PIM Module","0","0","Add a new employee using only mandatory fields","0"
"0","","0","Add Employe on PIM Module","1","0","Validate error for duplicate Employee ID","0"
"0","","1","Add Employe on PIM Module","1","0","Successfully create login details with enabled status","0"
"0","","0","Login to OrangeHRM Dashboard","3","0","Login failed with invalid credential","0"
"0","","0","Login to OrangeHRM Dashboard","1","0","Successful login with valid credentials","0"
"0","","0","Add Employe on PIM Module","1","0","Validate error when passwords do not match","0"
"0","","0","Check List Employe on PIM Module","1","0","find employee with current and include past employee","0"
"0","","0","Check List Employe on PIM Module","1","0","Search employee name without record data","0"
"0","","0","Add Employe on PIM Module","1","0","Validate error when photo file size exceeds the limit","0"
"1","","0","Add Employe on PIM Module","0","0","Successfully create login details with disabled status","0"
"0","","0","Check List Employe on PIM Module","1","0","find employee with partial name","0"
"0","","0","Check List Employe on PIM Module","1","0","Check total data with default pagination","0"
"0","","1","Add Employe on PIM Module","0","0","Add a new employee with minimum required fields and a unique manual ID","0"
