"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76249","Successfully create login details with enabled status","","Wed Apr 22 04:01:38 UTC 2026","broken","Wed Apr 22 04:02:54 UTC 2026","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","116516","Successfully create login details with enabled status","","Wed Apr 22 04:02:54 UTC 2026","passed","Wed Apr 22 04:04:51 UTC 2026","","Add Employe on PIM Module","Successfully create login details with enabled status",""
"","45490","Successfully create login details with disabled status","","Wed Apr 22 04:05:56 UTC 2026","passed","Wed Apr 22 04:06:41 UTC 2026","","Add Employe on PIM Module","Successfully create login details with disabled status",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4616","Login failed with invalid credential","","Wed Apr 22 04:07:46 UTC 2026","passed","Wed Apr 22 04:07:50 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","24082","Validate error when photo file size exceeds the limit","","Wed Apr 22 04:05:31 UTC 2026","passed","Wed Apr 22 04:05:56 UTC 2026","","Add Employe on PIM Module","Validate error when photo file size exceeds the limit",""
"","44070","Validate error when First Name is empty","","Wed Apr 22 04:00:12 UTC 2026","passed","Wed Apr 22 04:00:56 UTC 2026","","Add Employe on PIM Module","Validate error when First Name is empty",""
"","29696","Add a new employee with minimum required fields and a unique manual ID","","Wed Apr 22 03:59:42 UTC 2026","broken","Wed Apr 22 04:00:12 UTC 2026","","Add Employe on PIM Module","Add a new employee with minimum required fields and a unique manual ID",""
"","7184","Check total data with default pagination","","Wed Apr 22 04:07:00 UTC 2026","passed","Wed Apr 22 04:07:07 UTC 2026","","Check List Employe on PIM Module","Check total data with default pagination",""
"","23848","Search employee name without record data","","Wed Apr 22 04:07:07 UTC 2026","passed","Wed Apr 22 04:07:31 UTC 2026","","Check List Employe on PIM Module","Search employee name without record data",""
"","10272","find employee with partial name","","Wed Apr 22 04:06:41 UTC 2026","passed","Wed Apr 22 04:06:51 UTC 2026","","Check List Employe on PIM Module","find employee with partial name",""
"","42244","Validate error for duplicate Employee ID","","Wed Apr 22 04:00:56 UTC 2026","passed","Wed Apr 22 04:01:38 UTC 2026","","Add Employe on PIM Module","Validate error for duplicate Employee ID",""
"","40460","Validate error when passwords do not match","","Wed Apr 22 04:04:51 UTC 2026","passed","Wed Apr 22 04:05:31 UTC 2026","","Add Employe on PIM Module","Validate error when passwords do not match",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4658","Login failed with invalid credential","","Wed Apr 22 04:07:36 UTC 2026","passed","Wed Apr 22 04:07:41 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
"","8968","find employee with current and include past employee","","Wed Apr 22 04:06:51 UTC 2026","passed","Wed Apr 22 04:07:00 UTC 2026","","Check List Employe on PIM Module","find employee with current and include past employee",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4986","Successful login with valid credentials","","Wed Apr 22 04:07:31 UTC 2026","passed","Wed Apr 22 04:07:36 UTC 2026","","Login to OrangeHRM Dashboard","Successful login with valid credentials",""
"","50678","Add a new employee using only mandatory fields","","Wed Apr 22 03:58:51 UTC 2026","broken","Wed Apr 22 03:59:42 UTC 2026","","Add Employe on PIM Module","Add a new employee using only mandatory fields",""
"  As a user of the OrangeHRM system
  I want to log into the application using my credentials
  So that I can access the HR management features","4600","Login failed with invalid credential","","Wed Apr 22 04:07:41 UTC 2026","passed","Wed Apr 22 04:07:46 UTC 2026","","Login to OrangeHRM Dashboard","Login failed with invalid credential",""
